What is the error in int x = "Hello";? | Type Error | Syntax Error | Runtime Error | Logical Error | A
Error in int arr[3] = {1,2};? | Missing Initializer | Syntax Error | Runtime Error | Logical Error | B

Error in int x = 0; while(x < 5) { x--; }? | Infinite Loop | Syntax Error | Runtime Error | Logical Error | A

Error in int *p; cout << p;? | Uninitialized Pointer | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5]; arr[5] = 0;? | Array Out of Bound | Syntax Error | Runtime Error | Logical Error | A

Error in int x; x = x + 1;? | Undefined Behavior | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 2147483647 + 1;? | Integer Overflow | Syntax Error | Runtime Error | Logical Error | A

Error in int a = 5 + "5";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int main() { int x; x++; return x; }? | Uninitialized Variable | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5] = {1,2,3,4,5,6};? | Too Many Initializers | Syntax Error | Runtime Error | Logical Error | A

Error in int x; int y = x + 5;? | Undefined Variable | Syntax Error | Runtime Error | Logical Error | A

Error in int *p = 0; *p = 5;? | Segmentation Fault | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5; if(x = 10)? | Assignment Instead of Comparison | Syntax Error | Runtime Error | Logical Error | A

Error in float x = "5.5";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5 / 0;? | Division by Zero | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5]; arr[-2] = 3;? | Array Out of Bound | Syntax Error | Runtime Error | Logical Error | A

Error in int x = "Hello";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int x; x = y;? | Undefined Variable | Syntax Error | Runtime Error | Logical Error | A

Error in char c = 65;? | None | Syntax Error | Runtime Error | Logical Error | A

Error in float x = 5 / 2;? | Integer Division | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 10; x / 0;? | Division by Zero | Syntax Error | Runtime Error | Logical Error | A

Error in int *p; delete p;? | Undefined Behavior | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5] = {1,2,3,4}; arr[4]=5;? | None | Syntax Error | Runtime Error | Logical Error | A

Error in int main { return 0; }? | Missing Parentheses | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5 + "5";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5]; arr[6] = 7;? | Array Out of Bound | Syntax Error | Runtime Error | Logical Error | A

Error in int x; cout << y;? | Undefined Variable | Syntax Error | Runtime Error | Logical Error | A

Error in int x; x = x + 1;? | Undefined Behavior | Syntax Error | Runtime Error | Logical Error | A

Error in float x = 5 / 2;? | Integer Division | Syntax Error | Runtime Error | Logical Error | A

Error in int x; if(x = 5)? | Assignment Instead of Comparison | Syntax Error | Runtime Error | Logical Error | A

Error in char c = 'AB';? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int main() { int a; return a; }? | Returning Uninitialized Variable | Syntax Error | Runtime Error | Type Error | A

Error in int arr[5]; arr[5] = 0;? | Array Out of Bound | Syntax Error | Runtime Error | Type Error | A

Error in for(int i = 0; i < 10; i++) i = i--;? | Infinite Loop | Syntax Error | Runtime Error | Logical Error | A

Error in int x = "5";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int *p; delete p;? | Undefined Behavior | Syntax Error | Runtime Error | Logical Error | A

Error in int a = 5.5;? | Type Conversion Warning | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5] = {1,2,3,4,5,6};? | Too Many Initializers | Syntax Error | Runtime Error | Logical Error | A

Error in cout << 10 << "Hello;? | Missing Closing Quote | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5; if(x == 5); cout << x;? | Extra Semicolon | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5; int y = x + "Hello";? | Type Error | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5]; arr[-1] = 0;? | Array Index Out of Bound | Syntax Error | Runtime Error | Logical Error | A

Error in float x = 5 / 2;? | Integer Division | Syntax Error | Runtime Error | Logical Error | A

Error in int x; x = y + 1;? | Undefined Variable | Syntax Error | Runtime Error | Type Error | A

Error in for(int i = 0; i < 10; i++ i--)? | Missing Semicolon | Syntax Error | Runtime Error | Logical Error | A

Error in int x = 5 / 2.0;? | None | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[3] = {1,2};? | Missing Initializer | Syntax Error | Runtime Error | Logical Error | B

Error in int x = 0; while(x < 5) { x--; }? | Infinite Loop | Syntax Error | Runtime Error | Logical Error | A

Error in int *p; cout << p;? | Uninitialized Pointer | Syntax Error | Runtime Error | Logical Error | A

Error in int arr[5]; arr[5] = 0;? | Array Out of Bound | Syntax Error | Runtime Error | Logical Error | A
