Who is the main character of Naruto? | Naruto Uzumaki | Sasuke Uchiha | Sakura Haruno | Kakashi Hatake | A
Who is Zeref? | Dark Wizard | Hero | Dragon Slayer | Fairy Tail | A

Who is protagonist in Blue Exorcist? | Rin Okumura | Yukio | Shiemi | Shura | A

Who is Rins twin brother? | Yukio | Shiemi | Shura | Konekomaru | A

Who is protagonist of Black Butler? | Ciel Phantomhive | Sebastian | Grell | Undertaker | A

Who is Ciels demon butler? | Sebastian Michaelis | Grell Sutcliff | Undertaker | Lau | A

Who is protagonist of Akame ga Kill? | Tatsumi | Akame | Leone | Mine | A

Who is main female assassin in Akame ga Kill? | Akame | Leone | Mine | Chelsea | A

Who is protagonist in No Game No Life? | Sora | Shiro | Stephanie | Jibril | A

Who is Soras sister? | Shiro | Stephanie | Jibril | Sora | A

Who is protagonist of Katekyo Hitman Reborn? | Tsuna Sawada | Gokudera | Yamamoto | Hibari | A

Who is Vongola boss? | Tsuna | Gokudera | Reborn | Chrome | A

Who is protagonist of Death Parade? | Decim | Clavis | Nona | Ginti | A

Who is protagonist of Parasyte? | Shinichi Izumi | Migi | Kana | Satomi | A

Who is protagonist of Tokyo Ghoul:re? | Haise Sasaki | Ken Kaneki | Touka | Nishiki | A

Who is protagonist of Mob Psycho 100? | Shigeo Kageyama | Reigen | Ritsu | Dimple | A

Who is Shigeos nickname? | Mob | Reigen | Ritsu | Dimple | A

Who is protagonist of Akudama Drive? | Courier | Hacker | Brawler | Doctor | A
